May 15, 2021   22:24:10
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05		//振幅
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5	//脉冲周期
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Potential/V, Current/A

0.504, 7.646e-6
0.508, 7.560e-6
0.512, 7.502e-6
0.516, 7.449e-6
0.520, 7.395e-6
0.524, 7.367e-6
0.528, 7.328e-6
0.532, 7.298e-6
0.536, 7.278e-6
0.540, 7.257e-6
0.544, 7.242e-6
0.548, 7.227e-6
0.552, 7.216e-6
0.556, 7.223e-6
0.560, 7.216e-6
0.564, 7.220e-6
0.568, 7.230e-6
0.572, 7.239e-6
0.576, 7.252e-6
0.580, 7.262e-6
0.584, 7.279e-6
0.588, 7.282e-6
0.592, 7.291e-6
0.596, 7.303e-6
0.600, 7.317e-6
0.604, 7.332e-6
0.608, 7.338e-6
0.612, 7.354e-6
0.616, 7.381e-6
0.620, 7.392e-6
0.624, 7.429e-6
0.628, 7.468e-6
0.632, 7.530e-6
0.636, 7.607e-6
0.640, 7.688e-6
0.644, 7.793e-6
0.648, 7.950e-6
0.652, 8.112e-6
0.656, 8.331e-6
0.660, 8.590e-6
0.664, 8.910e-6
0.668, 9.295e-6
0.672, 9.766e-6
0.676, 1.032e-5
0.680, 1.098e-5
0.684, 1.177e-5
0.688, 1.270e-5
0.692, 1.379e-5
0.696, 1.508e-5
0.700, 1.656e-5
0.704, 1.826e-5
0.708, 2.019e-5
0.712, 2.238e-5
0.716, 2.482e-5
0.720, 2.751e-5
0.724, 3.049e-5
0.728, 3.372e-5
0.732, 3.718e-5
0.736, 4.087e-5
0.740, 4.471e-5
0.744, 4.867e-5
0.748, 5.270e-5
0.752, 5.670e-5
0.756, 6.058e-5
0.760, 6.424e-5
0.764, 6.755e-5
0.768, 7.042e-5
0.772, 7.270e-5
0.776, 7.438e-5
0.780, 7.523e-5
0.784, 7.526e-5
0.788, 7.446e-5
0.792, 7.286e-5
0.796, 7.057e-5
0.800, 6.771e-5
0.804, 6.446e-5
0.808, 6.101e-5
0.812, 5.760e-5
0.816, 5.433e-5
0.820, 5.133e-5
0.824, 4.857e-5
0.828, 4.610e-5
0.832, 4.386e-5
0.836, 4.177e-5
0.840, 3.985e-5
0.844, 3.802e-5
0.848, 3.628e-5
0.852, 3.461e-5
0.856, 3.299e-5
0.860, 3.141e-5
0.864, 2.982e-5
0.868, 2.825e-5
0.872, 2.665e-5
0.876, 2.507e-5
0.880, 2.350e-5
0.884, 2.200e-5
0.888, 2.055e-5
0.892, 1.926e-5
0.896, 1.807e-5
0.900, 1.704e-5
0.904, 1.616e-5
0.908, 1.544e-5
0.912, 1.485e-5
0.916, 1.438e-5
0.920, 1.403e-5
0.924, 1.377e-5
0.928, 1.362e-5
0.932, 1.353e-5
0.936, 1.352e-5
0.940, 1.358e-5
0.944, 1.367e-5
0.948, 1.382e-5
0.952, 1.400e-5
0.956, 1.422e-5
0.960, 1.446e-5
0.964, 1.473e-5
0.968, 1.503e-5
0.972, 1.534e-5
0.976, 1.568e-5
0.980, 1.604e-5
0.984, 1.639e-5
0.988, 1.675e-5
0.992, 1.713e-5
0.996, 1.752e-5
1.000, 1.789e-5
